,(1)Hub Nibong Tebal,(1140)Pasaraya C-MART,(1624)Super-Rider Motor Sdn Bhd,(2093)Residensi Merbok,(3366)Masjid Daerah Jawi,(3701)IPD Seberang Perai Selatan,(4160)Taman Jawi Jaya,(4717)Pusat Perniagaan Jawi Jaya,(5461)Perkampungan Jawi,(5943)Balai Polis Sungai Bakap,(6288)Hospital Sungai Bakap,(6622)Masjid Lama Sungai Bakap,(7007)Taman Jelatik,(7785)Taman Penyu,(8136)Taman Seri Aman,(9463)Taman Rebana,(9732)Kawasan Perindustrian Valdor,(10847)Oriental Polymer,(11473)Silitech,(12152)RTC Jalan Simpang Empat,(12516)Taman IKS Perda,(12901)Taman Perdana,(13366)Taman Cegar,(13997)SMK Simpang Empat,(14643)Balai Polis Simpang Empat,(14978)Kg. Baru Simpang Empat,(15492)Pusat Perniagaan Simpang Empat,(15974)Taman Permatang Tinggi Indah,(16203)Taman Perwira,(16497)SRJK Permatang Tinggi,(17179)Taman Perusahaan Usaha Jaya,(17421)MDC Kuari,(17731)Kawasan Perusahaan Permatang Tinggi,(18230)Taman Sukun,(18816)Taman Sukun Indah,(19284)Taman Markisah,(19720)Asia Machinery,(20198)Taman Perindustrian Bukit Minyak 2,(20356)Taman Perindustrian Bukit Minyak,(20687)Pusat Perniagaan Juru Jaya,(21138)Klinik Kesihatan Bukit Minyak,(21327)Taman Bukit Minyak,(22085)Makmal Veterinar,(22344)Pejabat Veterinar,(23081)Kampung Bersatu,(23965)Balai Polis Bukit Tengah,(24594)Taman Tanah Aman,(24999)Masjid Balik Bukit,(25417)Taman Kerjasama,(26645)Taman Bunga Raya,(26925)SK Jalan Baru,(27454)Mydin Mall,(27723)Kampung Setol,(28154)Masjid Kampung Setol,(30085)Megamall - Pacific,(30736)Kuil Sri Muniswara,(31021)Padang Kilat,(32250)Public Bank Inderawasih,(32496)Taman Inderawasih,(34086)Pusat Perniagaan Chain Ferry II,(34504)Pusat Perniagaan Chain Ferry I,(34648)Taman Limbungan Chain Ferry,(34865)Econsave ChainFerry,(35479)Harbour Place,(35836)SMK Convent Butterworth,(36737)Penang Sentral
(1)Hub Nibong Tebal,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(1140)Pasaraya C-MART,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(1624)Super-Rider Motor Sdn Bhd,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(2093)Residensi Merbok,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(3366)Masjid Daerah Jawi,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(3701)IPD Seberang Perai Selatan,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(4160)Taman Jawi Jaya,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(4717)Pusat Perniagaan Jawi Jaya,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(5461)Perkampungan Jawi,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(5943)Balai Polis Sungai Bakap,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(6288)Hospital Sungai Bakap,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
(6622)Masjid Lama Sungai Bakap,,,,,,,,,,,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40
